"places";"postcode"
"Colmberg";"91598,91598"
"Colmnitz,Diesbar-Seußlitz,Glaubitz,Nünchritz";"01612"
"Colmnitz,Dorfhain,Klingenberg";"01738"
"Contwig";"66497,66497"
"Coppenbrügge";"31863,31863"
"Coppengrave";"31091,31091"
"Cornberg,Menglers";"36219"
"Cossebaude,Cossebaude,Gohlis,Gohlis,Niederwartha,Niederwartha";"01462"
"Cossengrün,Elsterberg,Hohndorf,Leiningen,Rentzschmühle,Schönbach,Tremnitz";"07985"
"Coswig";"01640,06869"
"Cottbus";"03042,03044,03046,03048,03050,03051,03052,03053,03054,03055,03042,03044,03046,03048,03050,03051,03052,03053,03054,03055"
"Crawinkel,Frankenhain,Gräfenroda,Liebenstein";"99330"
"Creglingen";"97993,97993"
"Cremlingen";"38162,38162"
"Creußen,Haag,Prebitz";"95473"
"Creuzburg,Hattengehau,Ifta,Schnellmannshausen,Schrapfendorf";"99831"
"Crimla,Gera,Hundhaupten,Köfeln,Zedlitz";"07557"
"Crimmitschau";"08451,08451"
"Crinitzberg";"08147,08147"
"Crispendorf,Eßbach,Neundorf,Schöndorf,Volkmannsdorf,Ziegenrück";"07924"
"Cronenberg,Hohenöllen,Homberg,Hoppstädten,Kappeln,Kirrweiler,Lohnweiler,Löllbach,Medard,Rathskirchen,Schweinschied,Seelen,Wiesweiler";"67744"
"Crossen,Hartmannsdorf,Heideland,Rauda,Seifartsdorf,Silbitz,Walpernhain";"07613"
"Crostau,Kirschau,Schirgiswalde,Wilthen";"02681"
"Crottendorf,Walthersdorf";"09474"
"Cunewalde,Czorneboh";"02733"
"Cursdorf,Deesbach,Lichtenhain Bergbahn,Meura,Oberweißbach,Unterweißbach";"98744"
"Cuxhaven";"27472,27474,27476,27478,27472,27474,27476,27478"
"Daaden";"57567,57567"
"Dachau";"85221,85221"
"Dachsbach";"91462,91462"
"Dachsberg,Luchle";"79875"
"Dachsbergau,Triftern";"84371"
"Dackscheid,Eilscheid,Hargarten,Lambertsberg,Lauperath,Luppertsseifen, Gem Burscheid,Manderscheid,Mauel,Niederpierscheid,Oberpierscheid,Pintesfeld,Waxweiler";"54649"
"Dägeling,Neuenbrook";"25578"
"Dahlem";"53949,54636"
"Dahlen";"04774,39579"
"Dahlum,Kneitlingen,Schöppenstedt,Uehrde,Vahlberg,Winnigstedt";"38170"
"Dahme,Gruberhagen";"23747"
"Dahn";"66994,66994"
"Daisendorf";"88718,88718"
"Daiting,Monheim";"86653"
"Daldorf,Rickling";"24635"
"Dalheim,Dexheim,Dolgesheim,Eimsheim,Friesenheim,Hahnheim,Köngernheim,Ludwigshöhe,Mommenheim,Selzen,Uelversheim,Undenheim,Weinolsheim";"55278"
"Dallgow,Rohrbeck";"14624"
"Damendorf,Groß Wittensee,Haby,Holzbunge,Klein Wittensee,Lehmsiek,Profit,Sande";"24361"
"Damerow,Düvier,Görmin,Loitz,Sassen,Trantow,Vorbein,Wüstenfelde";"17121"
"Damerow,Havelberg,Kümmernitz,Neuwerben,Nitzow,Vehlgast,Waldfrieden";"39539"
"Damm,Dummerstorf,Kavelstorf,Kessin,Lieblingshof,Prisannewitz";"18196"
"Dammbach,Höllhammer";"63874"
"Damme";"49401,17291"
"Dammendorf,Grunow,Mixdorf,Müllrose";"15299"
"Dammersbach,Laufmühle,Lehmberg,Metten";"94526"
"Dammsfeld,Hehm,Leherfeld,Nordfeld,Rehm-Flehde-Bargen,St. Annen";"25776"
"Dammühle,Dreisbach,Fehl-Ritzhausen,Großseifen,Hahn,Hardt,Hof,Lautzenbrücken,Nisterau,Nisterberg,Stockhausen-Illfurth";"56472"
"Damnatz";"29472,29472"
"Damp,Thumby";"24351"
"Damscheid,Niederburg";"55432"
"Damsdorf,Emstal,Grebs,Lehnin,Michelsdorf,Nahmitz,Netzen,Prützke,Rädel,Rietz";"14797"
"Damsdorf,Tensfeld";"23824"
"Dänischenhagen,Schwedeneck,Strande";"24229"
"Dannau,Grebin,Rantzau";"24329"
"Danndorf";"38461,38461"
"Dannefeld,Jeggau,Köckte,Mieste,Miesterhorst,Peckfitz,Sachau,Sichau,Trippigleben";"39649"
"Dannenberg";"29451,16259"
"Dannenfels,Jakobsweiler";"67814"
"Dannewerk";"24867,24867"
"Dannigkow,Gommern,Plötzky,Pretzien";"39245"
"Dannstadt-Schauernheim";"67125,67125"
"Danstedt,Heudeber,Reddeber,Schmatzfeld,Wernigerode";"38855"
"Dargen,Garz,Kamminke,Korswandt,Seebad Ahlbeck,Zirchow";"17419"
"Darmstadt";"64283,64285,64287,64289,64291,64293,64295,64297,64283,64285,64287,64289,64291,64293,64295,64297"
"Darstein,Dimbach,Lug,Schwanheim,Spirkelbach,Wilgartswiesen";"76848"
"Dasing";"86453,86453"
"Dassel";"37586,37586"
"Datteln";"45711,45711"
"Datzeroth,Niederbreitbach";"56589"
"Dauchingen,Ebersteinerhof";"78083"
"Daun";"54550,54550"
"Dautmergen";"72356,72356"
"Dautphetal";"35232,35232"
"Daxweiler,Roth,Stromberg,Warmsroth";"55442"
"Deckelstein,Ebenwies,Hardt,Nittendorf,Zeiler";"93152"
"Deckenpfronn";"75392,75392"
"Dedelstorf,Hankensbüttel,Obernholz";"29386"
"Dedenbach,Königsfeld,Schalkenbach";"53426"
"Deetz,Insel,Käthen,Klinke,Möringen,Nahrstedt,Staats,Steinfeld,Uchtspringe,Vinzelberg,Volgfelde";"39599"
"Deggendorf,Freiberg";"94469"
"Deggenhausertal";"88693,88693"
"Deggingen";"73326,73326"
"Dehlitz,Großgörschen,Lützen,Poserna,Rippach,Röcken,Sössen,Starsiedel";"06686"
"Deidesheim";"67146,67146"
"Deilingen";"78586,78586"
"Deining";"92364,83739"
"Deiningen";"86738,86738"
"Deinste,Fredenbeck";"21717"
"Deisenhausen";"86489,86489"
"Deisenhofen,Furth,Gerblinghausen,Kreuzpullach,Laufzorn,Oberbiberg,Oberhaching,Ödenpullach";"82041"
"Deißlingen,Unterrotenstein,Wildenstein";"78652"
"Deizisau";"73779,73779"
"Delbrück";"33129,33129"
"Dellfeld,Ziegelhütte";"66503"
"Delligsen,Grünenplan";"31073"
"Dellingen,Forst,Hövels,Kaltau,Langenbach,Lechenbach,Mittelhof,Selbach,Thal,Wissen";"57537"
"Dellstedt";"25786,25786"
"Delmenhorst";"27749,27751,27753,27755,27749,27751,27753,27755"
"Delve,Hollingstedt,Wallen";"25788"
"Demmin";"17109,17109"
"Denkendorf";"73770,85095,73770,85095"
"Denkingen";"78588,78588"
"Denklingen,Epfach";"86920"
"Denkte";"38321,38321"
"Dennheritz,Meerane,Schönberg";"08393"
"Dentlein";"91599,91599"
"Denzlingen";"79211,79211"
"Derben,Ferchland,Güsen,Parey,Zerben";"39317"
"Derenburg,Langenstein";"38895"
"Dermbach,Wiesenthal";"36466"
"Dernau,Marienthal";"53507"
"Dernbach,Dürrholz,Harschbach";"56307"
"Dernbach";"56428,76857"
"Derschen,Dickendorf,Emmerzhausen,Friedewald,Grünebach,Kausen,Langenbach,Mauden,Molzhain,Neunkhausen,Niederdreisbach,Rosenheim,Rosenheimerlay,Schutzbach,Steinebach";"57520"
"Dersum";"26906,26906"
"Despetal";"31035,31035"
"Dessau";"06842,06844,06846,06847,06849,14715"
"Detern";"26847,26847"
"Detmold";"32756,32758,32760,32756,32758,32760"
"Dettelbach";"97337,97337"
"Dettenhausen";"72135,72135"
"Dettenheim";"76706,76706"
"Dettighofen";"79802,79802"
"Dettingen";"72581,73265,88451,72581,73265,88451"
"Dettum,Erkerode,Evessen,Reitling,Sickte,Veltheim";"38173"
"Deuben,Gröben,Krauschwitz,Nessa,Schelkau,Teuchern,Trebnitz,Werschen";"06682"
"Deuerling";"93180,93180"
"Deuselbach,Hermeskeil,Rorodt";"54411"
"Deutenried,Steingaden";"86989"
"Deutsch Evern";"21407,21407"
"Deutschneudorf,Kurort Seiffen";"09548"
"Deutzen,Heuersdorf";"04574"
"Deyelsdorf,Glewitz,Grammendorf,Gransebieth,Splietsdorf,Wendisch Baggendorf";"18513"
"Dickte,Görne,Kietz,Kleßen,Neuwerder,Ohnewitz,Rhinow,Schönholz,Stölln,Strodehne";"14728"
"Didderse";"38530,38530"
"Diebach,Schillingsfürst";"91583"
"Dieburg";"64807,64807"
"Diedenberg,Kirchen";"57548"
"Diedorf";"86420,36452"
"Diedorf,Heyerode,Schierschwende,Wendehausen";"99988"
"Diekholzen";"31199,31199"
"Diekhusen-Fahrstedt,Helse,Kaiser-Wilhelm-Koog,Kronprinzenkoog,Marne,Marnerdeich";"25709"
"Dielheim";"69234,69234"
"Dielkirchen";"67811,67811"
"Dielmissen";"37633,37633"
"Diemelsee";"34519,34519"
"Diemelstadt";"34474,34474"
"Diemitz,Mirow,Roggentin,Schwarz,Siedenheide,Zirtow";"17252"
"Dienheim,Oppenheim";"55276"
"Diepenau";"31603,31603"
"Diepholz";"49356,49356"
"Diera,Gallschütz,Gauernitz,Käbschütztal,Klipphausen,Leippen,Lindigt,Lösten,Perne,Proschwitz,Rottewitz,Sachsdorf,Schänitz,Scharfenberg,Schrebitz,Taubenheim,Triebischtal,Winkwitz,Zehren,Zetta";"01665"
"Dierdorf,Marienhausen";"56269"
"Dierhagen,Ostseebad Ahrenshoop,Ostseebad Wustrow";"18347"
"Dierscheid,Hetzerath,Kalbergerhof";"54523"
"Diespeck";"91456,91456"
"Dießen";"86911,86911"
"Diestelow,Dobbertin,Goldberg,Jellen b Dobbertin,Jellen b Goldberg,Kleesten,Langenhagen,Neu Poserin,Suckwitz Abbau,Techentin,Unterbrüz,Wendisch Waren";"19399"
"Dietenheim,Dürach,Halbertshof,Oberführbuch,Unterführbuch";"89165"
"Dietenhofen";"90599,90599"
"Dietersburg";"84378,84378"
"Dietersheim";"91463,91463"
"Dieterskirchen";"92542,92542"
"Dietfurt,Erbmühle,Pfenninghof";"92345"
"Dietingen";"78661,78661"
"Dietlas,Dönges,Dorndorf,Frauensee,Kieselbach,Merkers,Weißendiez";"36460"
"Dietmannsried";"87463,87463"
"Dietramszell";"83623,83623"
"Dietzenbach";"63128,63128"
"Dietzhausen,Dietzhausen,Dillstädt,Grub,Marisfeld,Oberstadt,Rohr,Schmeheim,Wichtshausen,Wichtshausen";"98530"
"Dietzhölztal";"35716,35716"
"Dill,Laufersweiler,Niedersohren,Sohren,Sohrschied";"55487"
"Dillenburg";"35683,35684,35685,35686,35687,35688,35689,35690,35683,35684,35685,35686,35687,35688,35689,35690"
"Dillendorf,Hecken,Kirchberg,Kludenbach,Lindenschied,Maitzborn,Metzenhausen,Nieder Kostenz,Ober Kostenz,Reckershausen,Rödern,Schwarzen,Todenroth,Womrath";"55481"
"Dillingen";"66763,89407,66763,89407"
"Dingdorf,Giesdorf,Heisdorf,Niederlauch,Nimsreuland,Oberlauch,Schönecken,Winringen";"54614"
"Dingelstädt,Helmsdorf,Kefferhausen,Kreuzebra,Silberhausen";"37351"
"Dingolfing";"84130,84130"
"Dingolshausen";"97497,97497"
"Dingwatt,Ekebergkrug,Eslingholz,Hollmühle,Lüttholm,Rabenholzlück,Schnarup-Thumby,Struxdorf";"24891"
"Dinkelsbühl";"91550,91550"
"Dinkelscherben";"86424,86424"
"Dinklage";"49413,49413"
"Dinslaken";"46535,46537,46539,46535,46537,46539"
"Dipperz";"36160,36160"
"Dippoldiswalde,Friedersdorf,Malter,Oberhäslich,Reichstädt,Reinholdshain,Röthenbach";"01744"
"Dirmstein";"67246,67246"
"Dirrfelden,Riedhof,Weißenhorn";"89264"
"Dischingen";"89561,89561"
"Dissen";"49201,03096"
"Ditfurt,Quedlinburg,Westerhausen";"06484"
"Dittelbrunn";"97456,97456"
"Dittelsdorf,Hirschfelde,Schlegel";"02788"
"Dittelsheim-Heßloch,Frettenheim";"67596"
"Dittenheim";"91723,91723"
"Ditzingen";"71254,71254"
"Dixförda,Klossa,Linda,Lindwerder,Mügeln,Schweinitz,Steinsdorf";"06928"
"Dobel";"75335,75335"
"Doberenz,Erlau,Hausdorf,Kaltenborn,Königsfeld,Königshain-Wiederau,Köttwitzsch,Leupahn,Leutenhain,Rochlitz,Schwarzbach,Seelitz,Seupahn,Stollsdorf,Terpitzsch,Wechselburg,Weiditz,Weißbach,Zettlitz,Zollwitz,Zschirla";"09306"
"Döberitz,Gapel,Premnitz";"14727"
"Döbern,Groß Kölzig,Jerischke,Klein Kölzig,Mattendorf,Preschen";"03159"
"Doberschau,Eulowitz,Gnaschwitz,Großpostwitz,Obergurig";"02692"
"Dobersdorf,Kählen,Schönkirchen";"24232"
"Döbris,Luckenau,Nonnewitz,Schleinitz,Theißen";"06727"
"Döbritschen,Frankendorf,Großschwabhausen,Hammerstedt,Hohlstedt,Kiliansroda,Kleinschwabhausen,Kötschau,Kromsdorf,Lehnstedt,Magdala,Mechelroda,Mellingen,Süßenborn,Süßenborn,Umpferstedt";"99441"
"Dogern";"79804,79804"
"Döhlau";"95182,95182"
"Dohma,Pirna,Struppen";"01796"
"Dohm-Lammersdorf,Hillesheim";"54576"
"Dohna,Heidenau,Meusegast,Müglitztal,Röhrsdorf";"01809"
"Dohren,Drestedt-Valzik,Kakenstorf,Königsmoor,Riepshof,Tostedt,Wistedt";"21255"
"Dohren,Herzlake";"49770"
"Dollern";"21739,21739"
"Dollerup,Tiefengruft";"24989"
"Döllingen,Kahla,Plessa,Schraden";"04928"
"Dollnstein";"91795,91795"
"Dombühl";"91601,91601"
"Dommitzsch,Elsnig,Trossin,Wörblitz";"04880"
"Domnitz,Edlau,Gerlebogk,Gnölbzig,Golbitz,Könnern,Lebendorf,Rothenburg,Trebnitz,Wiendorf,Zickeritz";"06420"
"Domsdorf,Drebkau,Golschow,Greifenhain,Illmersdorf,Jehserig,Laubst,Siewisch";"03116"
"Donaueschingen";"78166,78166"
"Donaustauf,Jagdschloß Thiergarten";"93093"
"Donauwörth";"86609,86609"
"Donnersdorf";"97499,97499"
"Donzdorf,Frauenholz,Kratzerhöfle,Kratzerhöfle,Schurrenhof,Schurrenhof";"73072"
"Dörentrup";"32694,32694"
"Dorf Mecklenburg,Groß Stieten,Klein Stieten,Klüssendorf,Lübow,Martensdorf,Maßlow,Metelsdorf,Schimm,Schulenbrook,Tarzow";"23972"
"Dorfchemnitz,Helbigsdorf,Mulda,Sayda,Voigtsdorf,Wolfsgrund,Zethau";"09619"
"Dörfles-Esbach";"96487,96487"
"Dorfprozelten";"97904,97904"
"Dormagen";"41539,41540,41541,41542,41539,41540,41541,41542"
"Dormettingen";"72358,72358"
"Dormitz,Gabermühle,Hetzles,Kleinsendelbach,Minderleinsmühle,Neunkirchen";"91077"
"Dornburg,Dorndorf-Steudnitz,Hainichen,Lehesten,Neuengönna,Tautenburg,Zimmern";"07778"
"Dornburg";"65599,39264"
"Dorn-Dürkheim";"67585,67585"
"Dornhan";"72175,72175"
"Dornreichenbach,Falkenhain,Hohburg,Kühnitzsch,Kühren-Burkartshain,Meltewitz,Thallwitz,Thammenhain,Voigtshain,Wurzen";"04808"
"Dornstadt,Himmelweiler,Himmelweiler";"89160"
"Dornstetten";"72280,72280"
"Dornum";"26553,26553"
"Dörpen,Heede,Kluse,Lehe,Wippingen";"26892"
"Dörpling,Pahlen,Tielenhemme";"25794"
"Dörpstedt";"24869,24869"
"Dörrebach,Eckenroth,Schöneberg,Schweppenhausen,Seibersbach,Waldlaubersheim";"55444"
"Dorsheim,Guldental,Hergenfeld,Laubenheim,Rümmelsheim,Windesheim";"55452"
"Dorsten";"46282,46284,46286,46282,46284,46286"
"Dörth,Emmelshausen,Hungenroth,Karbach,Schwall";"56281"
"Dortmund";"44135,44137,44139,44141,44143,44145,44147,44149,44225,44227,44229,44263,44265,44267,44269,44287,44289,44309,44319,44328,44329,44339,44357,44359,44369,44379,44388,44135,44137,44139,44141,44143,44145,44147,44149,44225,44227,44229,44263,44265,44267,44269,44287,44289,44309,44319,44328,44329,44339,44357,44359,44369,44379,44388"
"Dörverden";"27313,27313"
",,,";""
"Dörzbach";"74677,74677"
"Döschnitz,Rohrbach,Sitzendorf";"07429"
"Dossenheim";"69221,69221"
"Dötlingen";"27801,27801"
"Dotternhausen";"72359,72359"
"Döttesfeld,Niederähren,Puderbach";"56305"
"Drachhausen,Drehnow,Grötsch,Heinersbrück,Peitz,Tauer,Teichland,Turnow-Preilack";"03185"
"Drachselsried";"94256,94256"
"Drackenstedt,Dreileben,Druxberge,Eggenstedt,Eilsleben,Harbke,Marienborn,Ovelgünne,Seehausen,Sommersdorf,Ummendorf,Wefensleben,Wormsdorf";"39365"
"Drackenstein,Geislinger Weg,Großmannshof,Hohenstadt";"73345"
"Drage,Winsen";"21423"
"Drage,Hohenaspe,Kaaks,Looft";"25582"
"Drage,Jeppern,Krelau,Seeth";"25878"
"Drahnsdorf,Falkenhain,Golßen,Jetsch,Kasel-Golzig,Kümmritz,Reichwalde,Schiebsdorf,Sellendorf,Wildau-Wentdorf,Zützen";"15938"
"Drakenburg";"31623,31623"
"Drasdo,Langennaundorf,Uebigau,Wiederau";"04938"
"Drebach,Venusberg";"09430"
"Drebber,Dreeker Fladder";"49457"
"Drechow,Hugoldsdorf,Tribsees";"18465"
"Drei Annen Hohne,Elbingerode,Elend,Königshütte,Sorge,Tanne";"38875"
"Dreieich";"63303,63303"
"Dreifaltigkeitsberg, Gem Weng,Moosthenning";"84164"
"Dreisen,Herfingerhof,Mühlbusch,Standenbühl";"67816"
"Drenkow,Jarchow,Leppin,Marnitz,Mentin,Poltnitz,Siggelkow,Suckow,Tessenow";"19376"
"Drensteinfurt";"48317,48317"
"Dresden";"01067,01069,01097,01099,01108,01109,01127,01129,01139,01156,01157,01159,01169,01187,01189,01217,01219,01237,01239,01257,01259,01277,01279,01307,01309,01324,01326,01328,01067,01069,01097,01099,01108,01109,01127,01129,01139,01156,01157,01159,01169,01187,01189,01217,01219,01237,01239,01257,01259,01277,01279,01307,01309,01324,01326,01328"
"Drewitz,Jänschwalde,Jänschwalde Ost";"03197"
"Driedorf";"35759,35759"
"Drohndorf,Freckleben,Mehringen,Sandersleben";"06456"
"Drolshagen";"57489,57489"
"Droyßig,Kleinhelmsdorf,Weickelsdorf,Weißenborn,Wetterzeube";"06722"
"Drüsen,Mölln";"23879"
"Dubrau,Forst,Gahry,Gosda,Groß Schacksdorf,Jethe,Jocksdorf,Simmersdorf,Trebendorf";"03149"
"Dudeldorf,Gondorf,Pickließem";"54647"
"Dudenbacherhof,Otterbach,Reichenbacherhof";"67731"
"Dudenhofen";"67373,67373"
"Duderstadt";"37115,37115"
"Duggendorf";"93182,93182"
"Duingen";"31089,31089"
"Duisburg";"47051,47053,47055,47057,47058,47059,47119,47137,47138,47139,47166,47167,47169,47178,47179,47198,47199,47226,47228,47229,47239,47249,47259,47269,47279,47051,47053,47055,47057,47058,47059,47119,47137,47138,47139,47166,47167,47169,47178,47179,47198,47199,47226,47228,47229,47239,47249,47259,47269,47279"
"Dülmen";"48249,48249"
"Dümmer,Klein Rogahn,Schossin,Stralendorf,Wittenförden,Wodenhof,Zülow";"19073"
"Dunningen";"78655,78655"
"Dunum,Esens,Holtgast,Moorweg,Neuharlingersiel,Stedesdorf,Werdum,Westerburer Polder";"26427"
"Durach";"87471,87471"
"Durbach";"77770,77770"
"Dürbheim";"78589,78589"
"Durchhausen";"78591,78591"
"Düren";"52349,52351,52353,52355,52349,52351,52353,52355"
"Durlangen,Leinhäusle,Weggen-Ziegelhütte";"73568"
"Dürmentingen";"88525,88525"
"Durmersheim";"76448,76448"
"Dürnau";"73105,88422"
"Dürnberg,Enklarn,Furth im Wald";"93437"
"Dürrenuhlsdorf,Oberwiera,Waldenburg";"08396"
"Dürrhennersdorf,Großschweidnitz,Kittlitz,Lawalde,Lawalde-Kleindehsa,Lawalde-Lauba,Löbau,Niedercunnersdorf,Obercunnersdorf,Rosenbach,Schönbach";"02708"
"Dürrlauingen";"89350,89350"
"Dürrröhrsdorf-Dittersbach,Stolpen";"01833"
"Dürrwangen";"91602,91602"
"Dusenbrücken,Höheinöd,Höheischweiler,Höhfröschen,Huberhof,Nünschweiler,Petersberg";"66989"
"Düsseldorf";"40210,40211,40212,40213,40215,40217,40219,40221,40223,40225,40227,40229,40231,40233,40235,40237,40239,40468,40470,40474,40476,40477,40479,40489,40545,40547,40549,40589,40591,40593,40595,40597,40599,40625,40627,40629,40210,40211,40212,40213,40215,40217,40219,40221,40223,40225,40227,40229,40231,40233,40235,40237,40239,40468,40470,40474,40476,40477,40479,40489,40545,40547,40549,40589,40591,40593,40595,40597,40599,40625,40627,40629"
"Düsseldorf,Ratingen";"40472"
"Düsseldorf,Hilden";"40721"
"Dußlingen";"72144,72144"
"Duvensee,Klinkrade,Kühsen,Labenz,Lüchow,Sandesneben,Sirksfelde,Wentorf";"23898"
"Dwergte,Ermke,Grönheim,Molbergen,Peheim,Resthausen,Stalförden";"49696"
"Ebelsbach";"97500,97500"
"Ebenhausen,Kloster Schäftlarn,Zell";"82067"
"Ebenheiderhof,Freudenberg,Kirschfurt";"97896"
"Ebensfeld";"96250,96250"
"Ebenweiler";"88370,88370"
"Eberbach,Igelsbach";"69412"
"Eberdingen";"71735,71735"
"Eberfing,Moos,Tradlenz";"82390"
"Ebergötzen,Landolfshausen,Seeburg,Seulingen,Waake";"37136"
"Eberhardzell,Venusberg";"88436"
"Ebermannsdorf";"92263,92263"
"Ebermannstadt";"91320,91320"
"Ebern";"96106,96106"
"Ebersbach";"02730,73061,01561"
"Ebersbach-Musbach";"88371,88371"
"Ebersberg";"85560,85560"
"Ebersbrunn,Hirschfeld,Stenn,Waldhaus";"08144"
"Ebersburg";"36157,36157"
"Ebersdorf,Liebengrün,Liebschütz,Remptendorf";"07368"
"Ebersdorf";"96237,27432"
"Ebershausen";"86491,86491"
"Eberstadt";"74246,74246"
"Eberswalde";"16225,16227,16225,16227"
"Ebertsheim,Quirnheim";"67280"
"Ebhausen";"72224,72224"
"Ebing,Parschall,Petting,Schuhegg,Unterholzen";"83367"
"Ebnath";"95683,95683"
"Ebnisee,Kaisersbach";"73667"
"Ebrach";"96157,96157"
"Ebringen";"79285,79285"
"Ebsdorfergrund";"35085,35085"
"Ebstorf";"29574,29574"
"Echem,Lüdersburg,Neumühlen,Rullstorf,Scharnebeck";"21379"
"Eching";"82279,84174,85386,82279,84174,85386"
"Echzell,Kreuzquelle";"61209"
"Eckelsheim,Gau-Bickelheim,Siefersheim,Stein-Bockenheim,Wonsheim";"55599"
"Eckental";"90542,90542"
"Eckersdorf";"95488,95488"
"Eckhütt,Oberlindberg,Schwarzach";"94374"
"Edelsfeld";"92265,92265"
"Edemissen";"31234,31234"
"Edenkoben";"67480,67480"
"Ederheim,Karlshof";"86739"
"Edermünde";"34295,34295"
"Edertal";"34549,34549"
"Edesheim,Großfischlingen,Kleinfischlingen";"67483"
"Edewecht";"26188,26188"
"Edingen-Neckarhausen";"68535,68535"
"Edling";"83533,83533"
"Effeltrich";"91090,91090"
"Efringen-Kirchen";"79588,79588"
"Egelsbach";"63329,63329"
"Egenhausen";"72227,72227"
"Egenhofen";"82281,82281"
"Egerdach,Fritzenweng,Greinach,Mooshäusl,Moospoint,Oberau,Reichwimm,Selberting,Töfenreut,Voitswinkl,Wald,Weberhäusl,Weibhausen";"83379"
"Egesheim";"78592,78592"
"Egestorf";"21272,21272"
"Eggebek,Langstedt,Sollerup,Süderhackstedt";"24852"
"Eggenfelden";"84307,84307"
"Eggenstein-Leopoldshafen";"76344,76344"
"Eggenthal";"87653,87653"
"Eggerdach,Gröben,Obing";"83119"
"Eggersdorf Siedlung,Hermersdorf/Obersdorf,Müncheberg";"15374"
"Eggesin";"17367,17367"
"Eggingen";"79805,79805"
"Egglham,Schachahof";"84385"
"Egglkofen";"84546,84546"
"Eggolsheim";"91330,91330"
"Eggstätt";"83125,83125"
"Eggstedt";"25721,25721"
"Eging";"94535,94535"
"Eglfing";"82436,82436"
"Egling";"82544,86492,82544,86492"
"Egloffstein";"91349,91349"
"Egmating";"85658,85658"
"Egonmühle,Zaisenhausen";"75059"
"Egsdorf,Neuendorf,Schwerin,Teupitz,Töpchin,Tornow";"15755"
"Egstedt a Steiger,Egstedt a Steiger,Haarberg,Haarberg,Klettbach,Niedernissa,Niedernissa,Rockhausen,Rohda a Haarberg,Rohda a Haarberg,Suhlequelle,Suhlequelle,Waltersleben,Waltersleben,Windischholzhausen,Windischholzhausen";"99102"
"Egweil";"85116,85116"
"Ehekirchen";"86676,86676"
"Ehingen";"86678,86741,91725,86678,86741,91725"
"Ehingen,Lauterach";"89584"
"Ehlscheid,Hegerhof,Kurtscheid,Melsbach";"56581"
"Ehndorf,Wasbek";"24647"
"Ehningen";"71139,71139"
"Ehra-Lessien";"38468,38468"
"Ehrenberg,Hilders";"36115"
"Ehrenburg";"27248,27248"
"Ehrenfriedersdorf";"09427,09427"
"Ehrenkirchen";"79238,79238"
"Ehrensberg,Harres,Ilmmünster,Leiten,Prambach,Schaibmaierhof,Winden";"85304"
"Ehringshausen,Grundmühle,Heinrichsegen";"35630"
"Eibau,Eibau-Neueibau,Eibau-Walddorf";"02739"
"Eibelstadt";"97246,97246"
"Eibenhof,Klingenmühlhöfle,Köshof,Schautenhof,Welzheim";"73642"
"Eich,Hartmannsgrün,Treuen";"08233"
"Eich";"67575,08233"
"Eichenau,Roggenstein";"82223"
"Eichenbachermühle,Neuhemsbach";"67680"
"Eichenbarleben,Groß Rodensleben,Hohendodeleben,Irxleben,Klein Rodensleben,Niederndodeleben,Ochtmersleben,Wellen";"39167"
"Eichenbühl,Spritzenmühle";"63928"
"Eichendorf";"94428,94428"
"Eichenzell";"36124,36124"
"Eichstätt,Harthof";"85072"
"Eichstetten";"79356,79356"
"Eichwalde,Schulzendorf,Waltersdorf";"15732"
"Eicklingen";"29358,29358"
"Eigeltingen";"78253,78253"
"Eime";"31036,31036"
"Eimeldingen";"79591,79591"
"Eimen,Eschershausen,Holzen";"37632"
"Eimke";"29578,29578"
"Einbeck";"37574,37574"
"Einemhof,Vierhöfen";"21444"
"Einhausen";"64683,98617"
"Einig,Gering,Kollig,Polch";"56751"
"Einsbach,Fuchsberg,Sulzemoos";"85254"
"Eiselfing";"83549,83549"
"Eisenach";"99817,54298"
"Eisenbach";"79871,79871"
"Eisenberg,Gösen,Hainspitz";"07607"
"Eisenberg,Kerzenheim";"67304"
"Eisenberg,Seeg";"87637"
"Eisenheim";"97247,97247"
"Eisenschmelz,Finsterbrunnertal,Neuhof,Stelzenberg,Trippstadt";"67705"
"Eisingen";"75239,97249,75239,97249"
"Eislingen,Näherhof";"73054"
"Eitensheim";"85117,85117"
"Eiterfeld";"36132,36132"
"Eitleshof,Göppingen,Iltishof";"73037"
"Eitorf";"53783,53783"
"Eitting";"85462,85462"
"Elbe";"38274,38274"
"Elben,Fensdorf,Gebhardshain";"57580"
"Elbenschwand,Raich,Sallneck,Tegernau";"79692"
"Elbtal";"65627,65627"
"Elchesheim-Illingen";"76477,76477"
"Elchingen";"89275,89275"
"Eldingen";"29351,29351"
"Elende,Großlohra,Münchenlohra,Niedergebra,Obergebra,Rehungen,Sollstedt";"99759"
"Elfershausen";"97725,97725"
"Elgersburg,Geraberg,Geschwenda";"98716"
"Elisabeth-Sophien-Koog,Nordstrand,Nordstrandischmoor,Südfall";"25845"
"Elkenroth";"57578,57578"
"Elleben,Elxleben,Ichtershausen,Kirchheim";"99334"
"Ellefeld";"08236,08236"
"Ellenberg";"73488,55765"
"Ellenhausen,Hammermühle,Marienrachdorf,Nordhofen,Quirnbach,Selters";"56242"
"Ellenz-Poltersdorf";"56821,56821"
"Ellerau";"25479,25479"
"Ellerhoop";"25373,25373"
"Ellern,Schnorbach";"55497"
"Ellerstadt";"67158,67158"
"Ellgau";"86679,86679"
